imdbId,Imdb Link,Title,IMDB Score,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
5613056,http://www.imdb.com/title/tt5613056,Piper (2016),0.85,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4157510,http://www.imdb.com/title/tt4157510,For Here or to Go? (2015),0.85,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3973410,http://www.imdb.com/title/tt3973410,Kaakkaa Muttai (2014),0.85,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4085696,http://www.imdb.com/title/tt4085696,Billy Elliot (2014),0.85,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3210258,http://www.imdb.com/title/tt3210258,Bo Burnham: what. (2013),0.85,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2193091,http://www.imdb.com/title/tt2193091,Half the Sky (2012),0.85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5733210,http://www.imdb.com/title/tt5733210,Terra (2015),0.85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4973112,http://www.imdb.com/title/tt4973112,Hitting the Apex (2015),0.85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3089126,http://www.imdb.com/title/tt3089126,My Last Year with the Nuns (2014),0.85,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5005684,http://www.imdb.com/title/tt5005684,Nil Battey Sannata (2015),0.85,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2582802,http://www.imdb.com/title/tt2582802,Whiplash (2014),0.85,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4429128,http://www.imdb.com/title/tt4429128,Papanasam (2015),0.85,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3569782,http://www.imdb.com/title/tt3569782,Jigarthanda (2014),0.8400000000000001,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1801071,http://www.imdb.com/title/tt1801071,"Montevideo, vidimo se! (2014)",0.8400000000000001,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2374144,http://www.imdb.com/title/tt2374144,Gekijouban Gintama Kanketsu-hen: Yorozuyayo eien nare (2013),0.8400000000000001,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2296819,http://www.imdb.com/title/tt2296819,Kara (2012),0.8400000000000001,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5279042,http://www.imdb.com/title/tt5279042,Love Under New Management: The Miki Howard Story (2016),0.8400000000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3823690,http://www.imdb.com/title/tt3823690,Bill Burr: I'm Sorry You Feel That Way (2014),0.8400000000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2877108,http://www.imdb.com/title/tt2877108,Soodhu Kavvum (2013),0.8400000000000001,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5824826,http://www.imdb.com/title/tt5824826,#Pellichoopulu (2016),0.8400000000000001,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5192124,http://www.imdb.com/title/tt5192124,Bo Burnham: Make Happy (2016),0.8400000000000001,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4430212,http://www.imdb.com/title/tt4430212,Drishyam (2015),0.8400000000000001,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1826692,http://www.imdb.com/title/tt1826692,Fools on the Hill (2012),0.8400000000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5593526,http://www.imdb.com/title/tt5593526,The Apology (2016),0.8400000000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4632316,http://www.imdb.com/title/tt4632316,Gleason (2016),0.8400000000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4450170,http://www.imdb.com/title/tt4450170,"Return to the Philippines, the Leon Cooper Story (2015)",0.8400000000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3302820,http://www.imdb.com/title/tt3302820,Cowspiracy: The Sustainability Secret (2014),0.8400000000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4908644,http://www.imdb.com/title/tt4908644,Winter on Fire: Ukraine's Fight for Freedom (2015),0.8400000000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3267734,http://www.imdb.com/title/tt3267734,Art of the Prank (2015),0.8400000000000001,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2073679,http://www.imdb.com/title/tt2073679,The Invisible Front (2014),0.8400000000000001,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2510998,http://www.imdb.com/title/tt2510998,Louis C.K. Oh My God (2013),0.8400000000000001,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2359814,http://www.imdb.com/title/tt2359814,Speciesism: The Movie (2013),0.8400000000000001,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
